match_id,team,player,x,y,distance_to_goal,angle_to_goal,body_part,shot_type,technique,under_pressure,statsbomb_xg,is_goal
3869253,Brazil,Gleison Bremer Silva Nascimento,116.1,41.0,4.026164427839484,84.36969798078485,Head,Open Play,Normal,False,0.34439024,0
3869253,South Korea,Hee-Chan Hwang,112.9,53.6,15.341773039645709,13.177580899437874,Right Foot,Open Play,Half Volley,False,0.058088522,0
3869253,Brazil,Daniel Alves da Silva,88.4,46.1,32.18338080438411,12.748522811612728,Right Foot,Open Play,Normal,False,0.027316706,0
3869254,Switzerland,Breel-Donald Embolo,104.1,27.2,20.41200627082013,16.099291515225552,Left Foot,Open Play,Normal,False,0.06137733,0
3869254,Portugal,Gonçalo Matias Ramos,111.3,27.5,15.229576487873851,16.246161797128178,Left Foot,Open Play,Normal,False,0.10102074,1
3869254,Portugal,Otávio Edmilson da Silva Monteiro,101.4,36.8,18.873261509341724,21.661545625194183,Right Foot,Open Play,Half Volley,False,0.032515083,0
3869254,Portugal,Gonçalo Matias Ramos,100.7,32.2,20.81657993043045,18.59417342123625,Right Foot,Open Play,Normal,False,0.072023906,0
3869254,Switzerland,Xherdan Shaqiri,87.2,46.1,33.36240399012037,12.316540446402595,Left Foot,Free Kick,Normal,False,0.023890225,0
3869254,Portugal,Kléper Laveran Lima Ferreira,114.3,40.0,5.700000000000003,65.40946715400364,Head,Open Play,Normal,True,0.12779379,1
3869254,Switzerland,Remo Freuler,115.9,44.0,5.72800139664787,57.10166016005336,Head,Open Play,Normal,False,0.2948616,0
3869254,Switzerland,Fabian Lukas Schär,99.9,53.7,24.324884377936925,14.274325795736711,Right Foot,Open Play,Volley,False,0.024413843,0
3869254,Portugal,Gonçalo Matias Ramos,107.5,33.4,14.135416513141735,26.143739417836677,Left Foot,Open Play,Normal,False,0.31703457,0
3869254,Portugal,Raphaël Adelino José Guerreiro,96.0,25.0,28.30194339616981,12.574331346722047,Left Foot,Open Play,Normal,False,0.021823613,0
3869254,Portugal,Gonçalo Matias Ramos,114.4,35.1,7.441102068914249,44.32159593074139,Head,Open Play,Normal,True,0.09938955,0
3869254,Portugal,Gonçalo Matias Ramos,115.8,44.4,6.08276253029822,52.48393452539706,Left Foot,Open Play,Normal,False,0.5086819,1
3869254,Portugal,João Félix Sequeira,103.5,26.4,21.382469455140114,15.223837252787485,Left Foot,Open Play,Normal,True,0.043932665,0
3869254,Portugal,Kléper Laveran Lima Ferreira,110.8,35.6,10.19803902718557,36.622505485358445,Head,Open Play,Normal,True,0.05800441,0
3869254,Portugal,Raphaël Adelino José Guerreiro,110.9,32.4,11.85622199522259,27.644857526864037,Left Foot,Open Play,Normal,True,0.35848966,1
3869254,Switzerland,Manuel Obafemi Akanji,118.7,35.4,4.780167361086849,45.186048138851,Right Foot,Open Play,Volley,False,0.6688656,1
3869254,Switzerland,Xherdan Shaqiri,101.7,63.9,30.10149497948565,8.533925422053025,Left Foot,Open Play,Normal,False,0.007870479,0
3869254,Portugal,Gonçalo Matias Ramos,112.6,45.8,9.40212741883453,35.836726967832284,Right Foot,Open Play,Lob,True,0.46699882,1
3869254,Switzerland,Denis Lemi Zakaria Lako Lado,97.5,36.4,22.786180022109892,18.03594900548827,Right Foot,Open Play,Normal,False,0.04188712,0
3869254,Portugal,Cristiano Ronaldo dos Santos Aveiro,88.9,44.9,31.483646548644895,13.105843755183807,Right Foot,Free Kick,Normal,False,0.028790973,0
3869254,Switzerland,Breel-Donald Embolo,102.1,39.2,17.917868176767016,23.068838198096486,Right Foot,Open Play,Overhead Kick,True,0.032889098,0
3869254,Switzerland,Granit Xhaka,113.2,34.5,8.745856161634489,38.270371839661564,Head,Open Play,Normal,True,0.0836758,0
3869254,Switzerland,Noah Okafor,108.4,23.1,20.49804868761902,11.790876205005567,Right Foot,Open Play,Normal,False,0.032096077,0
3869254,Portugal,Rafael Alexandre Conceição Leão,105.0,21.7,23.661994844053197,11.360441456960533,Right Foot,Open Play,Normal,True,0.010257767,1
3869254,Portugal,Rúben Santos Gato Alves Dias,108.0,41.9,12.149485585818027,33.20375335360118,Head,Open Play,Normal,False,0.03750256,0
3869321,Argentina,Rodrigo Javier De Paul,101.6,53.3,22.703523955544878,15.017346923333964,Right Foot,Open Play,Half Volley,False,0.02377054,0
3869321,Argentina,Lionel Andrés Messi Cuccittini,96.6,50.3,25.566579747787934,14.977650422966807,Left Foot,Open Play,Normal,False,0.037832856,0
3869321,Netherlands,Steven Bergwijn,101.6,32.9,19.722322378462437,19.728782563421827,Left Foot,Open Play,Half Volley,False,0.089517,0
